¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{IMPERIAL_CAMPAIGN_BYZANTIUM_DESCR}	Lord Naarifin\n\n In the language of the Ehlnofex, “Aldmeri” means literally “Home of the Elves”. Before founding of the Dominion existed two separate states -- Altmeri kingdom of Alinor, more commonly known as Summerset Isles, and Bosmeri kingdom of Valenwood. Present Aldmeri Dominion in actually a third one -- First and Second were run by the Altmers, or the High Elves, mainly in Second Era. The original Aldmeri Dominion was an empire founded by Queen Ayrenn in 2E 582, in the midst of the Interregnum. It was conceived after Ayrenn assumed the throne of Alinor and consisted of lands being today’s provinces of Summerset Isles, Valenwood and Elsweyr. The Second Dominion was formed in 2E 830 when the Summerset Isles conquered Valenwood over a dynastic dispute. When the heirs of the Camoran Dynasty sought to capture Valenwood's throne, a faction of Bosmer attempted to make peace with their enemies in the Colovian Estates by offering part of the Valenwood territory in exchange for the faction's own claimant. The Altmer, upon hearing of this, invaded Valenwood, citing a stewardship clause in a thousand-year-old treaty between their nations. The Altmer established Thalmor as the new government in Valenwood on behalf of their claimant Camoran Anaxemes. Since the Interregnum still gripped Tamriel, the Colovian armies were easily forced back by the Elves and the Second Aldmeri Dominion was born. Meanwhile, Tiber Septim rose to power in Cyrodiil and began his conquest of Tamriel. The nascent Third Empire expanded and encroached on Dominion territory, forcing the Bosmer attacks to subside. Although there was no formal declaration of war between the Dominion and the Empire, Tamriel had become divided between them in an unfolding clash of civilizations. The catastrophic use of the Numidium ended the long confrontation in 2E 896, resulting in the surrender of the Summerset Isles and the human conquest of Tamriel. The Second Dominion would represent the last time for centuries that the Elves of Tamriel ruled sovereign kingdoms on the continent, the legacy of the Direnni and Aldmer holdings.\n\n Third Aldmeri Dominion was born in the face of weaking Empire of Men, as a way to once again unite all Elves under single banner, and finally shake the chains of human domination. The Dominion can field very powerful -- even if not very numerous -- troops, and its mages are the most skilled ones in the known world. Bosmer archers and Altmer light infantry provide excellent fighting force, able to withstand highly disciplined Imperial Legions from Cyrodiil.
{IMPERIAL_CAMPAIGN_BYZANTIUM_TITLE}	Aldmeri Dominion
{IMPERIAL_CAMPAIGN_DENMARK_DESCR}	King Gortwog gro-Nagorm\n\n Orsinium -- fortress and kingdom of orcs in Rotgarian Mountains, High Rock. \n\n First chief of orcs, who rallied them was Torug gro-Igorn. Then news about new kingdom came to ears of all orc rogues, they went to Orsinium. \n\n In one hand, chronicles of mankind describes Orsinium as fortress with brutal laws, and orc raiders, who held in fear all Bjoulsae valley. In one hand, orc chronicles describes themselves as peaceful kin. Both of them could be right. But all this data was destroyed with first siege.\n\n Armies of Daggerfall, Order of Diagna and Sentinel pushed orcs of Torug back to Orsinium just in thirty years. Fortress falled in 1E 980. Its walls were destroyed and became dust.\n\n Retreated orcs seeked for vault, but were expelled from everywhere. Orcs could create their state nowhere.\n\n But in 3E 399 Gortworg gro-Nagorm bought a land near old Orsinium and started to build a new town. Town didn't created negative reaction of commoners because of Gortworg's political talent. New Orsinium became a richful city, and after Warp of the West it has taken all central High Rock.\n\n Later, disruption occured in Orsinium - Gortworg started to honor Trinimac, and named daedric prince Malacath, who was symbol for all orcs In Tamriels. Who knows that cost will pay Gortwor for such dangerous game? \n\n
{IMPERIAL_CAMPAIGN_DENMARK_TITLE}	Kingdom of Orsinium
{IMPERIAL_CAMPAIGN_EGYPT_DESCR}		King Ashaad\n\n Hot are the sands of Elsweyr -- land between forests of Valenwood and marshes of Transniben, home to the Khajiit, feline race of cat-people. Nobody knows when they arrived here -- most probably Elsweyr is their ancestral lair, place of their origin. Civilization of the Khajiit predate known civilizations of Mer and Men on Tamriel, and in the ages past cat-people themselves were a lot more widespread than in the First Age. As described in A Pocket Guide to the Empire: “Topal the Pilot in his peregrinations around Tamriel encountered the Khajiit not in Elsweyr, but far up the Niben River, close to the Imperial City, where they preyed on other native creatures.” The desert in the times past was split into a number of smaller states, warring with each other for dominance and because of pride. That state of things lasted long until the time of the Thrassian Plague in 1E 2200 that devastated the whole of Tamriel in the course of hundreds of years. A large number of the peripheral areas of Elsweyr, destructed by plague and following war, split off and joined into the Cyrodiilic Empire of the Remans. This further sapped Khajiit unity though established a system of trust with outside powers. The Khajiit would remain loyal but non-enthusiastic about Imperial power and were one of the few supporters of the Akaviri Potentate Versidue Shaie who moved the Imperial court from the Imperial City to Senchal, a city in southern Elsweyr. Only the kingdoms of Anequina and Pellitine are known to have survived catastrophe of plague and submission intact, and they decided at that time to forge an Alliance of Peace -- thereby creating a unified confederacy under protection of the Empire of Men. “Sugar” wars and petty vendettas were forgotten, and chieftains tattooed new agreements on their faces. New confederacy was cemented by marriage -- Keirgo of Anequina married Eshita of Pellitine in 2E 309. In the light of the negotiations it is suggested the old Khajiiti saying was issued, “a perfect society is always found elsewhere”. With this, the Kingdom of Elsweyr was created, it's capitol to be in Ne Quin-al. Peace not lasted for long. Soon, the civil war broke the country, a bloody conflict that lasted for fifteen long years. Old hatreds lived once more, it appeared that two united states will in a moment fall into dozen of new warring, petty kingdoms. In 2E 324 Potentate Versidue Shaie was murdered by the Morag Tong in Senchal, soon afterwards the rebel Khajiit had sacked Ne Quin-al forcing the royal family to flee. \n\n Peace was restored by a religious leader and reformer, the Mane Rid-T'har-ri'Datta. Ri'Datta set out the cyclical pattern of power sharing that relied on the lunar patterns. He stated that Ne Quin-al would hold power during a full moon, Senchal the new moon, and Torval his own capitol, would hold power when the moon was at half. This left him with the most time shared in power but it was often divided into a number of other small kingdoms that rose and fell during this time. This act, called the Riddle'thar, created a principle foundation of power sharing that was able to appease all parties involved while remaining under the overall auspice of the Mane. Thus the Mane gained power and prestige as a figure for internal and external politics. In time, the Mane gained power of a dictator over whole Elsweyr, and to this day he rules the Khajiit as a head of the state, and head of the religion. \n\n Today the former areas of kingdom of Anequina (also called by its old name, Ne Quin-al) are directly ruled by a monarch from relatively young dynasty. In the north monarchic tendencies were always strong -- after all it was Anequina that was a home of old kings. Current Mane, residing in Pellitine, is a weak leader, and local kings and chiefs used this to their advantage, strengthening own position and bringing back menace of separation. Opposition against absolute domination of the Mane is strong in Anequina, and sentiment for independence still alive...
{IMPERIAL_CAMPAIGN_EGYPT_TITLE}		Kingdom of Anequina
{IMPERIAL_CAMPAIGN_ENGLAND_DESCR}	Emperor Uriel Septim VII\n\n The Septim Empire or the Third Empire is the largest and most powerful state in the history of Tamriel. It was founded in the Second Era by a Dragonborn, Tiber Septim, known as Talos -- or so the official records say.\n\n The bases of its formation begin to appear in 2E 852, when the young Talos, while serving under king Cuhlecain, defeated the Breton-Nord invading alliance at the Battle of Sancre Tor. In 2E 854 unknown assassins kill Cuhlecain (rumored to be a Breton nightblades), who was later also known as "Emperor Zero". The same killer tries to cut the throat of General Talos, but the latter survives, though because of the terrible wounds on the neck he was deprived of his ability to use the Thu'um. From that moment, General Talos takes a Cyrodilic name - Tiber Septim and takes the throne. This event marks the birth of the Third Empire.\n\n Now Emperor, Tiber Septim, in what would be known later as the Tiber Wars, begin victorious campaigns against the other nations of Tamriel, combining them into a single empire -- first of such kind since Second Empire of Cyrodiils. A special role in these campaigns has been played by the dragon Nafaalilargus and the Dwemer construct called Numidium, accelerating success in capturing  provinces such as Morrowind and Summerset, respectively.\n\n In 896 of the Second Era Alinor, the capital of the Summerset isles, surrenders after a brief siege by the Numidium. From that moment all of Tamriel is united under one banner -- the banner of the Septim Empire, and thus begin a new, Third Era.
{IMPERIAL_CAMPAIGN_ENGLAND_TITLE}	Empire of Cyrodiil
{IMPERIAL_CAMPAIGN_FRANCE_DESCR}	The Hart-King Camoran Kaltos \n\n The first Era was founded after King Eplear, a Bosmer, and founder of the Camoran Dynasty, began his rule. Soon after this founding, the Bosmeri began to change, to suit the environments of the forest in which they lived. In return for the patronage of Y'ffre, the Forest God (either one of the old ancestor spirits or an aspect of the true pantheon), they swore never to kill, injure, or eat any of the vegetation of the new home, which became known as the Green Pact. The Bosmeri unity should be considered an important military feat in itself, as Eplear managed to unify the disparate groups into a unified group. In 1E 340, the Camoran Dynasty formed a trade pact with the human slave rebels of the Alessian Order.\n\n After the fall of the Second Empire in 2E 430, the Camorans tried to unify themselves once more under the one banner, however, they had drifted too far apart culturally. They then began to war with one another, the Khajiit to the east, and the Colovians to the north. As they were disunified, they offered no resistance to the encroachments made by the Maormer of Pyandonea.\n\n During the 5th Century, the Camoran Dynasty had reasserted itself, and, with the exception of the Blacksap Rebellion, managed to assert Elden Root as the capital. This would become the capital of the Aldmeri Dominion.\n\n Valenwood also became part of the Aldmeri Dominion, a coalition of the Altmer and Bosmer that was considered to be the most stable empire in Tamriel, and they ruled until the armies of Tiber Septim wiped them out.\n\n After conquering Valenwood, Tiber Septim wisely decided to let the Bosmeri retain some symbols of its independence, so as to limit dissension. Thus, they allowed the creation of local chiefs and the Camoran Kings to remain. The Camoran Usurper, slso known as Haymon Camoran, Hart-King, and Camoran Hart-King, began his deadly attacks on Valenwood in 3E 249. Two years later, in 3E 251, the Camoran Usurper had conquered all of Valenwood, and began his fateful march northwards before eventually getting defeated at the Battle of Firewaves by Baron Othrok of Dwynnen in 3E 267.\n\n At the close of the Third Era, significant changes were occurring in Valenwood. The Wild Hunt had been sighted again for the first time in "over 500 years." The "Walking City" of Falinesti has taken root for the first time in recorded history, and there is a new Bosmer prophet, the Precursor, preaching that the old Forest God Y'ffre is returning with new gifts for his favored people. Whether these are isolated events, or signs of some great change coming to Valenwood, remains to be seen.
{IMPERIAL_CAMPAIGN_FRANCE_TITLE}	Kingdom of Valenwood
