¬
{Imperial_City_Province}	Heartland
{Imperial_City}			Imperial City
{Anvil_Province}		Gold Coast
{Anvil}				Anvil
{Kvatch_Province}		Southern Colovia
{Kvatch}			Kvatch
{Sutch_Province}		Colovia
{Sutch}				Fort Sutch
{Dirich_Province}		Southern Highlands
{Dirich}			Fort Dirich
{Skingrad_Province}		West Weald
{Skingrad}			Skingrad
{Chorrol_Province}		Colovian Highlands
{Chorrol}			Chorrol
{Sancre_Tor_Province}		Northern Highlands
{Sancre_Tor}			Sancre Tor
{Bruma_Province}		Northern Nibenay
{Bruma}				Bruma
{Cloud_Province}		Jerall Mountains
{Cloud_Ruler}			Cloud Ruler Temple
{Cheidynhal_Province}		Nibenay
{Cheidynhal}			Cheydinhal
{Heimlin_Province}		Northern Deshaan
{Heimlin}			Heimlin
{Naso_Province}			Silverfish River
{Naso}				Fort Naso
{Cuptor_Province}		Nibenay Valley
{Cuptor}			Fort Cuptor
{Dublecross_Province}		The Black Forest
{Dublecross}			Fort Doublecross
{Homestead_Province}		West Weald
{Homestead}			Fort Homestead
{Bravil_Province}		Nibenay Bay
{Bravil}			Bravil
{Borderwatch_Province}		Southern Nibenay
{Borderwatch}			Borderwatch
{Leyaviin_Province}		Topal Bay
{Leyaviin}			Leyawiin
{Frostmoth_Province}		Hirstaang Forest
{Frostmoth}			Fort Frostmoth
{Ravenrock_Province}		Ebony Coast
{Ravenrock}			Raven Rock
{Skaal_Province}		Felsaad Coast
{Skaal}				Skaal Village
{Windhelm_Province}		Eastmarch
{Windhelm}			Windhelm
{Hewsbane_Province}		Hew's Bane
{Hewsbane}			Abah's Landing
{Solitude_Province}		Haafingar
{Solitude}			Solitude
{Eyebright_Province}		Eyebright Feld
{Crestshade}			Crestshade
{Helgen_Province}		Throat of the World
{Helgen}			Helgen
{Dunlain_Province}		Dunlain Hills
{Dunlain}			Dunlain
{Ivarstead_Province}		Ivarstead Lands
{Ivarstead}			Ivarstead
{Vaultheim_Province}		Western Whiterun
{Vaultheim}			Fort Greymoor
{Riften_Province}		The Rift
{Riften}			Riften
{Falkreath_Province}		Falkreath Hold
{Falkreath}			Falkreath
{Whiterun_Province}		Whiterun Hold
{Whiterun}			Whiterun
{Rorikstead_Province}		Rorikstead Lands
{Rorikstead}			Rorikstead
{Sunguard_Province}		Sunguard Highlands
{Sunguard}			Fort Sunguard
{Markarth_Province}		The West Reach
{Markarth}			Markarth
{Karthwasten_Province}		River Karth
{Karthwasten}			Karthwasten
{Zainab_Province}		Grazeland
{Zainab}			Zainab Camp
{Volkihar_Province}		Volkihar Isle
{Volkihar}			Castle Volkihar
{Morthal_Province}		Hjalmarch
{Morthal}			Morthal
{Dunstad_Province}		Dunstad Lands
{Dunstad}			Fort Dunstad
{Dawnstar_Province}		White Coast
{Dawnstar}			Dawnstar
{Winterhold_Province}		Winterhold
{Winterhold}			Winterhold
{Dawnguard_Province}		Velothi Mountains
{Dawnguard}			Fort Dawnguard
{Daggerfall_Province}		Kingdom of Daggerfall 
{Daggerfall}			Daggerfall
{Glenumbra_Province}		Tulun Forest
{Glenumbra}			Glenumbra
{Jehanna_Province}		The Reach
{Jehanna}			Jehanna
{Cloudr_Province}		Dunlain Falls
{Cloudr}			Farrun Stronghold
{Farrun_Province}		High Rock Northern Coast
{Farrun}			Morkul Stronghold
{Raven_Province}		Graystone Quarry
{Raven}				Tumnosh Clanhold
{Evermor_Province}		Kingdom of Evermore
{Evermor}			Evermore City
{Scourge_Province}		Ephesus
{Scourge}			Bangkorai Garrison
{Moile_Province}		Mournoth
{Moile_Keep}				Moile Keep
{Gauvadon_Province}		Bjoulsae River
{Gauvadon}			Fort Gauvadon
{Wayrest_Province}		Menevia
{Wayrest}			Wayrest
{Portdun_Province}		Portdun Coast
{Portdun}			Portdun Creek
{Sharnhelm_Province}	Central Rivenspire
{Sharnhelm}			Sharnhelm
{Balifera_Province}		Balifera Isle
{Balifera}			Direnni Tower
{Vulkhel_Province}		Vulkhel
{Vulkhel}			Vulkhel
{Ne_Quinal_Province}		Ne'Quinal
{Ne_Quinal}			Ne'Quinal
{Old_Gate_Province}		Westmark Moor
{Old_Gate}			Oldgate
{Northpoint_Province}		Boralis
{Northpoint}			Northpoint
{Darguard_Province}		Darguard Province
{Darguard}			Fort Darguard
{Koegria_Province}		King's Guard
{Koegria}			Koegria
{Alcaire_Province}		Stormhaven
{Alcaire}			Alcaire
{Dvinnen_Province}		Dvinnen Barony
{Dvinnen}			Dvinnen
{Camlorn_Province}		Kingdom of Camlorn
{Camlorn}			Camlorn
{Llessan_Province}		Daenia
{Llessan}			Glenpoint
{Anticler_Province}		Kingdom of Anticlere
{Anticler}			Anticlere
{Druadach_Province}		Druadach Mountains
{Druadach}			Druadach
{Azra_Province}			Eastern Wrothgarian
{Azra}				Azra's Crossing
{Orsinium_Province}		Wrothgarian Mountains
{Orsinium}			Orsinium
{Sentinel_Province}		Myrkwasa
{Sentinel}			Sentinel
{Taneth_Province}		Irk River
{Taneth}			Taneth
{Rihad_Province}		Brenna River
{Rihad}				Rihad
{Northhalls_Province}		Northern Mountains
{Northhalls}			Northhalls
{Elinhir_Province}		Elinhir State
{Elinhir}			Elinhir
{Belkarth_Province}		Belkarth Province
{Belkarth}			Fort Belkarth
{Riverpoint_Province}		Riverpoint Province
{Riverpoint}			Fort Riverpoint
{Roseguard_Province}		Tuk River
{Roseguard}			Fort Roseguard
{Lainebon_Province}		Eastern Alik'r
{Lainebon}			Verkarth
{Gilane_Province}		Southern Hammerfell
{Gilane}			Gilane
{Hegathe_Province}		Hunding bay
{Hegathe}			Hegathe
{Abibon_Gorah_Province}		Abibon-Gorah Barony
{Abibon_Gorah}			Abibon-Gorah
{Sunkeep_Province}		Eastern Alik'r
{Sunkeep}			Fort Sunkeep
{Alikr_Province}		Alik'r Desert
{Alikr}				Tu'whacca's Throne
{Dukfron_Province}		Hollow Vastes
{Dukfron}			Dak'fron
{Vulnim_Province}		Tigonus
{Vulnim}			Vulnim
{Totambu_Province}		Totambu Forest
{Totambu}			Totambu
{Lainlyn_Province}		Dragontail Mountains
{Lainlyn}			Lainlyn
{Skaven_Province}		Fallen Wastes
{Skaven}			Skaven
{Heldorn_Province}		Ephesus
{Heldorn}			Fort Heldorn
{Dragonstar_Province}		Craglorn
{Dragonstar}			Dragonstar
{Stros_Province}		Stros M'kai Isle
{Stros}				Port Hunding
{Alinor_Province}		Alinor Province
{Alinor}			Alinor
{Riverfield_Province}		Central Summerset
{Riverfield}			Fort Riverfield
{Corgrad_Province}		Graddun Spring
{Corgrad}			Corgard
{Cloudrest_Province}		King's Haven
{Cloudrest}			Cloudrest
{Lillandril_Province}		Karnwasten Moor
{Lillandril}			Lillandril
{Sea_Keep_Province}		Sea Keep Province
{Sea_Keep}			Sea Keep
{Shimmerene_Province}		Rosefield
{Shimmerene}			Shimmerene
{Dusk_Province}			Thorheim Guard
{Dusk}				Dusk
{Archen_Province}		Archen Province
{Archen}			Archen
{Sunhold_Province}		Sunhold Province
{Sunhold}			Sunhold
{Marnor_Province}		Oblivion and Other Lands
{Marnor}			Sigillum Sanguis
{Firsthold_Province}		Northern Auridon
{Firsthold}			Firsthold
{West_Guard_Province}		Greenwater
{West_Guard}			Dawnbreak
{Skywatch_Province}		Central Auridon
{Skywatch}			Skywatch
{Arentia_Province}		Strid River
{Arentia}			Arentia
{Thormar_Province}		Reaper's March Gate
{Thormar}			Thormar Gate
{Valkwasten_Province}		Silver Vale
{Valkwasten}			Silvenar
{Silvenar_Province}		Abamath
{Silvenar}			Valkwasten
{Falinesti_Province}		Malabal Tor
{Falinesti}			Falinesti
{Velyn_Province}		Xylo River Basin
{Velyn}				Velyn Harbor
{Longvale_Province}		Reman's Bluff
{Longvale}			Driladan Pass
{Woodheart_Province}		Drowned Coast
{Woodheart}			Woodheart
{Longhaven_Province}		Southern Greenshade
{Longhaven}			Marbruk
{Greenheart_Province}		Wilderking Court
{Greenheart}			Greenheart
{Elden_Root_Province}		Green Hall
{Elden_Root}			Elden Root
{Kathdar_Province}		Greenshade
{Kathdar}			Cormount
{Wasten_Province}		Wasten Bukbrook
{Wasten}			Brackenleaf
{Southpoint_Province}		South Haven
{Southpoint}			Southpoint
{Haven_Province}		Long Coast province
{Haven}				Haven
{Korinth_Province}		Palmwood
{Korinth}			Corinth
{Riverhold_Province}		Tardorn Wood
{Riverhold}			Riverhold
{Dune_Province}			Dawnmead
{Dune}				Dune
{Seaplace_Province}		Cori Darglade
{Seaplace}			Fort Seaplace
{Meir_Province}			Linmount
{Meir}				Meir
{Orcrest_Province}		Central Anequina
{Orcrest}			Orcrest
{Rimmen_Province}		The Rim
{Rimmen}			Rimmen
{Ein_Province}			Meirvale
{Ein}				Rawl'kha
{Greenvale_Province}		Greenvale
{Greenvale}			Fort Greenvale
{Albaster_Province}		Albaster province
{Albaster}			Albaster
{Moonpath_Province}		Tenmar Forest
{Moonpath}			Moon Path
{Porneu_Province}		Western Tenmar
{Porneu}			Porneu
{Dunkori_Province}		Dunkori Coast
{Dunkori}			Dunkori Walk
{Tenmar_Province}		Southern Tenmar
{Tenmar}			Tenmar
{Torval_Province}		The Mane's State
{Torval}			Torval
{Darvulk_Province}		Western Quin'rawl
{Darvulk}			Darvulk
{Senchal_Province}		Quin'rawl
{Senchal}			Senchal
{Helstrom_Province}		Central Black Marsh
{Helstrom}			Hissmir
{Stormhold_Province}		Shadowfen
{Stormhold}			Stormhold
{Tenimar_Province}		Tenimar Wall
{Tenimar}			Tenmar Gate
{Riverwalk_Province}		Branchmont
{Riverwalk}			Riverwalk
{Thorn_Province}		Thorn Province
{Thorn}				Thorn
{Greenglade_Province}		Greenglade Province
{Greenglade}			Alten Corimont
{Gideon_Province}		Eastern Black Forest
{Gideon}			Gideon
{Greenspring_Province}		Green Spring
{Greenspring}			Greenspring
{Herne_Province}		The Chain
{Herne}			Herne
{Moonmarch_Province}		Moon March
{Moonmarch}			Moonmarch
{Soulrest_Province}		Soulrest Province
{Soulrest}			Soulrest
{Blackrose_Province}		Blackrose Province
{Blackrose}			Blackrose
{Lilmoth_Province}		Black isle
{Lilmoth}			Lilmoth
{Seaspring_Province}		Sea Spring
{Seaspring}			Seaspring
{Rockpark_Province}		Rockpark
{Rockpark}			Rockpark
{Archon_Province}		Archon Province
{Archon}			Archon
{Omaynia_Province}		Omaynia Province
{Omaynia}			Omaynia
{Ebonheart_Province}		Ascadian Isles
{Ebonheart}			Ebonheart Castle
{Seyda_Nin_Province}		Bitter Coast
{Seyda_Nin}			Seyda Neen
{Hla_Oad_Province}		Northern Bitter Coast
{Hla_Oad}			Hla Oad
{Balmora_Province}		Balmora Province
{Balmora}			Balmora
{Caldera_Province}		Caldera Province
{Caldera}			Caldera
{Pelagiad_Province}		Pelagiad Province
{Pelagiad}			Pelagiad
{Suran_Province}		Lake Masobi
{Suran}				Suran
{Thir_Province}			Tear Province
{Thir}				Tear
{Ald_Ruhn_Province}		Ald'ruhn Province
{Ald_Ruhn}			Ald'ruhn
{Maar_Gan_Province}		Maar Gan Province
{Maar_Gan}			Maar Gan
{Ald_Velothy_Province}		Velothi Coast
{Ald_Velothy}			Ald'Velothi
{Gnisis_Province}		West Gash Region
{Gnisis}			Gnisis
{Black_Light_Province}		Velothi Mountains
{Black_Light}			Blacklight
{Silgrad_Province}		Silgrad Province
{Silgrad}			Silgrad
{Kragenmoor_Province}		Kragenmoor Province
{Kragenmoor}			Kragenmoor
{Andrenthis_Province}		Valus Mountians
{Andrenthis}			Andrenthis
{Ald_Marak_Province}		Lake Coronati
{Ald_Marak}			Ald Marak
{Narsis_Province}		Deshaan Plains
{Narsis}			Narsis
{Old_Ebonhearth_Province}	River Tir
{Old_Ebonhearth}		Ebonheart
{Oldrenthis_Province}		Stonefalls
{Oldrenthis}			Davon's Watch
{Silmion_Province}		Eastern Deshaan
{Silmion}			Silnion
{Sotha_Sil_Province}		Southern Deshaan
{Sotha_Sil}			Sotha-Sil
{Mournhold_Province}		Mournhold
{Mournhold}			Almalexia
{Necrom_Province}		Salen Vilgate
{Necrom}			Necrom
{Praloris_Province}		Green Hills
{Praloris}			Praloris
{Llothanis_Province}		Velothi Haven
{Llothanis}			Llothanis
{Firewatch_Province}		Firewatch Province
{Firewatch}			Firewatch
{Dagon_Fel_Province}		Sheogorad
{Dagon_Fel}			Dagon Fel
{Almalexia_Province}		Central Morrowind
{Almalexia}			Ald Mora
{Vivek_Province}		Ascadian Coast
{Vivek}				Vivec
{Ghostgate_Province}		Ghostfence
{Ghostgate}			Ghostgate
{Molag_Mar_Province}		Molag Amur
{Molag_Mar}			Molag Mar
{Sadrith_Mora_Province}		Zafibrel Bay
{Sadrith_Mora}			Sadrith Mora
{Tel_Fir_Province}		Tel Fir Province
{Tel_Fir}			Tel Fir
{Vos_Province}			Grazelands
{Vos}				Vos
{Telvanis_Province}		Telvanni Isles
{Telvanis}			Port Telvannis
{Dagoth_Ur_Province}		The Red Mountain
{Dagoth_Ur}			Dagoth Ur
{Odrossal_Province}		Ashlands
{Odrossal}			Odrossal
{Tureynulal_Province}		Ashlands
{Tureynulal}			Tureynulal
{Cropsford_Province}		Cropsford
{Cropsford}			Cropsford
{Kenarthi_Province}		Kenarthi'Roost
{Kenarthi}			Mistral
{Dungeon_Province}	Dungeon Region
{Dungeon}			Dungeon Region 
{Cyrodiil}of Cyrodiil
{Skyrim}of Skyrim
{HighRock}of High Rock
{Hammerfell}of Hammerfell
{Summerset}of Summerset Isles
{Valenwood}of Valenwood
{Elsweyr}of Elsweyr
{Blackmarsh}of Blackmarsh
{Morrowind}of Morrowind 
