¬
{Hircine}Hircine
{Meriath}Meriath
{Nelos}Nelos
{Otheri}Otheri
{Maryon}Maryon
{Storn}Storn
{Talcar}Talcar
{Tharsten}Tharsten
{Galyn}Galyn
{Mecinar}Mecinar
{Araan}Araan
{Cylben}Cylben
{Heartfang}HeartFang
{Noname}No name
{Errinorne}Errinorne
{Amiel}		Amiel
{Minisera}	Minisera
{Carwen}	Carwen
{Angof}		Angof
{Faolchu}	Faolchu
{Wylon}		Wylon
{Llerey}	Llrey
{Rohlbert}	Rohlbert
{Guitaut}	Guitaut
{Medryndril} Medryndril
{Urfon}	    Urfon
{Urien}	    Urien
{Olarz}	    Olarz
{Ice-Heart}	Ice-Heart
{Alasan}	Alasan
{Shiri}		Shiri
{Uwaf}		Uwaf
{Suturah}	Suturah
{Ellic}		Ellic
{Beric}		Beric
{Djuncan}	Djuncan
{Dunstad}	Dunstad
{Henrick}	Henrick
{Kazimir}	Kazimir
{Karodus}	Karodus
{Kellen}	Kellen
{Laton}		Laton
{Relvas}	Relvas
{Roderic}	Roderic
{Pelinal}	Pelinal
{Adelasia}	Adelasia
{Aelwin}	Aelwin
{Aleron}	Aleron
{Alix}		Alix
{Alberic}	Alberic
{Ambroz}	Ambroz
{Andre}		Andre
{Ancus}		Ancus
{Antuan}	Antuan
{Astav}		Astav
{Ahill}		Ahill
{Adrien}		Adrien
{Bazil}		Bazil
{Baragon}	Baragon
{Bartel}	Bartel
{Baurion}	Baurion
{Beran}		Beran
{Berouche}	Berouche
{Bradon}	Bradon
{Bridwell}	Bridwell
{Brustetus}	Brustetus 
{Casimir}	Casimir
{Christophe} Christophe
{Claude}	Claude
{Colin}		Colin
{Corrick}	Corrick
{Damian}	Damian
{Davide}	Davide
{Didier}	Didier
{Dorten}	Dorten
{Eadwyre}	Eadwyre
{Eamond}	Eamond
{Edgar}		Edgar
{Eduard}	Eduard
{Emeric}	Emeric
{Copper} Copper
{Ernest}	Ernest
{Eseld} Eseld
{Edmund} Edmund
{Alard} Alard
{Eugal}		Eugal
{Floyd}		Floyd
{Francois}	Francois
{Gan}		Gan
{Gaspar}	Gaspar
{Gaston}	Gaston
{Gerard}	Gerard
{Gothryd}	Gothryd
{Grantham}	Grantham
{Gregory}	Gregory
{Gerieux}	Gerieux
{Mathias}	Mathias
{Etienne} Etienne
{Ahla} Ahla
{Nal} Nal
{Nala} Nala
{Ahl} Ahl
{Cheryline} Cheryline
{Cherylin} Cherylin
{Septimus} Septimus
{Attius} Attius
{Darien}	Darien
{Guilbert}	Guilbert
{Hannibal}	Hannibal
{Hastrel}	Hastrel
{Istirus}	Istirus
{Jakben}	Jakben
{Jauffre}	Jauffre
{Geriuex}	Geriuex
{Hughes}	Hughes
{Croix} Croix
{Jean}		Jean
{Jhared}	Jhared
{Kastaus}	Kastaus
{Lannis}	Lannis
{Lazare}	Lazare
{Lysandus}	Lysandus
{Nathaniel}	Nathaniel
{Marcel}	Marcel
{Marc}		Marc
{Mathieu}	Mathieu
{Matthas}	Matthas
{Marone}	Marone
